position;code;name_en;purpose_de;name_en;purpose_en
66;S066;Serverraum;Bereitstellung und Betrieb eines Raums für die Unterbringung von passiven und aktiven Netzwerkkomponenten und weitere IT-Hardware wie Server, Storage etc.;Server room;Provisioning and operation of a space for the accommodation of passive and active network components and further hardware like server, storage etc.
67;S067;Rechenzentrum;Bereitstellung und Betrieb eines Raums für die Unterbringung von passiven und aktiven Netzwerkkomponenten, weitere IT-Hardware wie Server, Storage etc., abgesichert mindestens durch Zutrittskontrolle, Feuerlöschanlage, 24/7-Notstromversorgung;Data center;Provisioning and operation of a space for the accommodation of passive and active network components, further IT hardware such as servers, storage, etc., minimum secured by access control, fire fighting system, 24/7 emergency power supply
68;S068;WAN-Anbindung zum externen Rechenzentrum;Bereitstellung und Betrieb einer Datenanbindung zu einem externen Rechenzentrum;WAN-connectivity to external data center;Provisioning and operation of a data connection to an external data center
69;S069;Einbruchmelde-System;Bereitstellung und Betrieb eines Einbruchmelde-Systems;Burglar alarm system;Provisioning and operation of a burglar alarm system
70;S070;Facility-Management Alarmierungs-System;Bereitstellung und Betrieb eines Alarm-Systems für die Überwachung von Haustechnik-Funktionen wie Heizung, Klima, Jalousien etc.;Facility management alerting system;Provisioning and operation of an alarm system for the monitoring of office automation functions such as heating, air conditioning, blinds etc.
71;S071;Frankiermaschine;Bereitstellung und Betrieb einer Maschine für das freistempeln von Postsendungen;Postage meter machine;Provisioning and operation of a system for the automatic metering of postage stamps
72;S072;Diverse Client-Software;Bereitstellung und Betrieb diverse Client-Installierte-Software wie Browser, PDF-Reader, etc.;Various client software;Provisioning and operation of various client-installed software such as web browser, PDF reader, etc.
73;S073;QM-Software;Bereitstellung und Betrieb einer Software für Qualitätsmanagement;QM software;Provisioning and operation of a software for quality management
74;S074;Intranet und CMS für das Intranet;Bereitstellung und Betrieb eines Firmen-Intranets mit dem zugehörigen CMS-System;Intranet and CMS system for intranet;Provisioning and operation of a corporate intranet with the corresponding CMS system
75;S075;Software Patch-Management System;Bereitstellung und Betrieb eines Systems für die Verteilung und Installation von Software-Patches und -Updates;Software patch management system;Provisioning and operation of a system for distributing and installing software patches and updates
76;S076;Software-Verteilung (inkl. Software Patch-Management System);Bereitstellung und Betrieb eines Systems für die Verteilung und Installation beliebiger Software (inkl. -Patches und -Updates);Software distribution (incl. software patch management);Provisioning and operation of a system for the distribution and installation of any software (incl. patches and updates)
77;S077;Switche im Core-Bereich;Bereitstellung und Betrieb von Switch-Hardware im Core-Bereich (Serverraum und/oder Rechenzentrum);Core switches;Provisioning and operation of switch hardware in the core area (server room and/or data center)
78;S078;Router;Bereitstellung und Betrieb von Router-Hardware;Router;Provisioning and operation of router hardware
79;S079;EDIFACT-Hard- und  -Software;Bereitstellung und Betrieb von Systemen und Software  für den Datenaustausch über EDIFACT;EDIFACT-hard- and -software;Provisioning and operation of systems and software for data exchange via EDIFACT
80;S080;Personalverwaltungs- und Bewerber-Software (inkl. Abrechnung);Bereitstellung und Betrieb von Software für die Personal- und Bewerberverwaltung inklusive Lohnabrechnung;Applicant and HR-management software (incl. payroll accounting);Provisioning and operation of software for staff management incl. payroll accounting
81;S081;Personalverwaltungs- und Bewerber-Software (ohne Abrechnung);Bereitstellung und Betrieb von Software für die Personal- und Bewerberverwaltung ohne  Lohnabrechnung;Applicant and HR-management software (without payroll accounting);Provisioning and operation of applicant and HR-management software (without payroll accounting)
82;S082;Webshop-Software;Bereitstellung eines Systems für den Betrieb eines Webshops;Webshop software;Provisioning of a system for the operation of a webshop
83;S083;Projekt-Datenraum;Bereitstellung und Betrieb eines digitalen Projekt-Datenraums;Project data room;Provisioning and operation of a digital project data space
84;S084;Videokonferenz-System;Bereitstellung und Betrieb eines Videokonferenz-Systems;Videoconferencing system;Provisioning and operation of a video conferencing system
85;S085;Telefonkonferenz-System;Bereitstellung und Betrieb eines Telefonkonferenz-Systems;Phone conferencing system;Provisioning and operation of a phone conferencing system
86;S086;Fernwartungs-Software;Bereitstellung und Betrieb eines Systems für die Fernwartung und Support von IT-Geräten;Remote support software;Provisioning and operation of a system for remote maintenance and support of IT equipment
87;S087;Desktop-Publishing-Software;Bereitstellung und Betrieb von Software für Desktop-Publishing;Desktop publishing software;Provisioning and operation of software for desktop publishing
88;S088;Bildbearbeitungs-Software;Bereitstellung und Betrieb von Software für Bildbearbeitung und Bildretusche;Image editing software;Provisioning and operation of software for image editing
89;S089;Beamer und Präsentationstechnik;Bereitstellung und Betrieb von Beamer-Hardware und verwandte Präsentationstechnik;Beamer and presentation technology;Provisioning and operation of beamer hardware and related  presentation technology
90;S090;Firewalls ohne VPN-Funktionen;Bereitstellung und Betrieb von Firewall-Hardware ohne aktivierte und konfigurierte VPN-Funktionen;Firewalls without VPN functionalities;Provisioning and operation of firewall hardware without activated and configured VPN functions
